host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d
1,1,0,1.0,1,1,0,1,1,0,1.0,1.0,0,2.1,2,2.6,30.0,60,30.0,60.0,0,0,0,5,1.0,0
1,1,1,1.0,1,1,0,0,1,0,7.0,7.0,0,1.0,1,1.0,1.0,21,1.0,1125.0,1,28,58,329,40.0,3
1,1,1,1.0,1,1,0,1,1,0,2.0,3.0,0,1.0,0,1.0,1.0,6,1.0,1125.0,1,39,63,145,15.6,4
0,0,0,1.0,1,0,0,1,1,1,1.0,1.0,1,2.1,3,2.6,30.0,1125,30.0,1125.0,0,0,0,0,1.0,0
0,0,0,1.0,1,0,0,1,1,0,1.0,1.0,0,1.5,1,1.0,4.0,1125,4.0,1125.0,1,43,73,333,0.0,0
1,1,1,,1,1,0,1,1,0,1.0,1.0,1,2.0,3,3.0,3.0,1125,2.7,1125.0,0,21,51,226,27.0,1
1,0,1,,1,1,0,1,1,1,6.1,8.6,0,2.0,2,2.0,2.0,365,2.2,1125.0,1,38,63,336,6.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,2.0,0,1.0,0,1.0,30.0,365,30.0,365.0,0,0,0,130,4.0,1
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,0,1.0,2,2.0,3.0,1125,5.1,1125.0,1,60,90,340,5.0,1
1,1,1,1.0,1,0,0,1,1,1,3.0,4.0,1,2.0,2,2.0,3.0,90,3.0,90.0,1,41,71,331,11.0,0
1,1,0,1.0,1,0,1,1,1,0,1.0,1.0,0,1.5,2,3.0,3.0,1125,3.0,1125.0,1,59,89,269,2.0,1
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,2.0,365,2.0,365.0,1,30,60,326,13.0,0
1,1,1,1.0,1,1,0,1,1,1,4.0,4.0,1,2.0,2,4.0,1.0,30,1.3,1125.0,1,54,84,355,49.0,2
0,0,0,1.0,1,1,1,1,1,1,1.0,1.0,1,2.5,3,3.0,3.0,120,3.0,1125.0,0,16,46,213,25.0,1
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,2.0,2.0,1125,2.0,1125.0,0,8,22,153,62.0,0
1,1,0,1.0,1,1,0,1,1,1,2.0,2.0,0,1.0,1,2.0,1.0,30,1.0,1125.0,1,46,76,349,66.0,3
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,1,2.0,3,2.3,3.0,1125,5.0,1125.0,1,53,83,346,5.0,1
1,1,0,1.0,1,1,0,0,1,0,1.0,1.0,0,1.0,1,1.0,3.0,125,3.0,125.0,0,0,13,235,3.0,1
1,1,1,1.0,1,0,0,0,1,0,1.0,1.0,0,1.0,1,1.0,1.0,10,1.0,10.0,1,31,61,61,55.0,5
1,1,0,1.0,1,1,0,1,1,1,2.0,2.0,0,1.0,1,2.0,1.0,30,1.0,30.0,1,50,80,341,58.0,2
0,0,0,1.0,1,1,1,1,1,1,3.0,23.0,0,2.1,2,2.6,30.0,45,30.0,45.0,1,26,26,26,0.0,0
1,1,1,1.0,1,1,0,1,1,1,3.0,3.0,0,1.0,0,2.0,2.0,1125,2.0,1125.0,1,40,70,160,60.0,5
0,1,0,1.0,1,0,0,1,1,1,1.0,1.0,1,2.0,2,4.0,30.0,45,30.0,1125.0,1,26,56,275,5.0,0
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,1,2.0,2,2.0,3.0,1125,5.0,1125.0,0,39,64,325,3.0,0
1,1,0,1.0,1,1,1,1,1,0,6.0,9.0,0,1.0,1,1.0,2.0,1125,1.1,1125.0,1,45,75,346,15.0,0
